tenant name,integration name,data converter name,webhook name,device name,device id v2,device id v1
si_magnifi,magnifi-tower-sway,magnifi-tower-sway,magnifi-tower-sway,ESN 9616 - Pintasan Puchong - Tower Sway,a11dbb30-4f58-11ed-b04b-61e292f04158,3a18e680-16dc-11ed-b96a-419673351426
si_magnifi,magnifi-modbus,magnifi-modbus,magnifi-modbus,ESN 8711 - Muzium Negara - Energy Meter,a132a2c0-4f58-11ed-b04b-61e292f04158,50124c30-fb73-11ec-80a9-83a6055f2008
si_magnifi,magnifi-modbus,magnifi-modbus,magnifi-modbus,ESN 8744 - KM 18.7 MEX Hwy - Energy Meter,a12d99b0-4f58-11ed-b04b-61e292f04158,6d119bb0-13f1-11ed-b96a-419673351426
si_magnifi,magnifi-modbus,magnifi-modbus,magnifi-modbus,ESN 8748 - Pintasan Puchong - Energy Meter,a12c8840-4f58-11ed-b04b-61e292f04158,75ceb300-13f1-11ed-b96a-419673351426
si_magnifi,magnifi-modbus,magnifi-modbus,magnifi-modbus,ESN 8750 - Masjid Bukit Aman - Energy Meter,a1261fa0-4f58-11ed-b04b-61e292f04158,7f014870-13f1-11ed-b96a-419673351426
si_magnifi,magnifi-modbus,magnifi-modbus,magnifi-modbus,ESN 8713 - Desa Parkcity - Energy Meter,a125aa70-4f58-11ed-b04b-61e292f04158,87b278e0-13f1-11ed-b96a-419673351426
si_magnifi,magnifi-modbus,magnifi-modbus,magnifi-modbus,ESN 8758 - Precinct 17 - Energy Meter,a11de240-4f58-11ed-b04b-61e292f04158,91eedd30-13f1-11ed-b96a-419673351426
si_upri,upd-devices,upd-devices,upd-devices,Temphum Sensor,d9eeb460-4b06-11ed-b04b-61e292f04158,685028a0-857e-11ec-b372-23a85237172f
si_upri,upd-devices,upd-devices,upd-devices,Proximity 6687,d9e76160-4b06-11ed-b04b-61e292f04158,b20e86c0-857f-11ec-b372-23a85237172f
si_upri,upd-dev-all,upd-dev-all,upd-devices,Proximity 4m,d9e7af80-4b06-11ed-b04b-61e292f04158,ecfe3c40-99ce-11ec-b372-23a85237172f
si_upri,upd-dev-all,upd-dev-all,upd-devices,Temphum Sensor,d9eeb460-4b06-11ed-b04b-61e292f04158,685028a0-857e-11ec-b372-23a85237172f
si_upri,UPD packetDUINO,UPD packetDUINO,upd-devices,ESN 5769,d9f6a3a0-4b06-11ed-b04b-61e292f04158,73dcab70-f5a6-11eb-be49-73e9bda34ef3
si_upri,ultrasonic_proximity_4m,ultrasonic_proximity_4m,upd-devices,ESN 6112,da01c730-4b06-11ed-b04b-61e292f04158,7d251550-0ed4-11eb-989f-93eb583aac32
si_upri,test_temphum,test_temphum,packetworx-test-devices,ESN 5864,d9fda880-4b06-11ed-b04b-61e292f04158,33b95bf0-3a81-11eb-bdfc-f78879e6bc1d
Botonym,botonym optical pulse,botonym optical pulse,,ESN 7001,a7af3e80-4afb-11ed-b04b-61e292f04158,#N/A
si_lgprime,Wave Counter,Wave Counter,null,units_counter,4feb82b0-4a35-11ed-b04b-61e292f04158,e3837150-ce18-11e9-bee7-4f1046ce4ca3
si_lgprime,water temp dlsz,DLSZ Water Temperature Jam,null,water_temperature_002,4fd821c0-4a35-11ed-b04b-61e292f04158,305f8e80-cefc-11e9-bee7-4f1046ce4ca3
si_lgprime,Water Mater,Water Meter,lg-water-meter-demo,LG_water_meter_001,4ff2aea0-4a35-11ed-b04b-61e292f04158,c3521ad0-cd4b-11e9-bee7-4f1046ce4ca3
si_lgprime,Verla,Verla,null,Device_Verla,4fd1b920-4a35-11ed-b04b-61e292f04158,5c73c5d0-cfa7-11e9-91b3-1d7538dfdcb1
si_lgprime,test device kyle,test device kyle,test-device-kyle,00740052206796,4aa25c70-4a35-11ed-b04b-61e292f04158,e69cdf70-b57e-11ec-80a9-83a6055f2008
si_lgprime,Temp Device,Temperature,null,temperature,#N/A,#N/A
si_lgprime,Royal Cargo Bulacan,Royal Cargo Bulacan,talkpool-oy1110royalcargo,Room 5,4f9ee950-4a35-11ed-b04b-61e292f04158,b4568c00-6b3d-11eb-bdfc-f78879e6bc1d
si_lgprime,Royal Cargo 2,Royal Cargo 2,talkpool-oy1110-sensors,Device P1- F,4fcbc5b0-4a35-11ed-b04b-61e292f04158,db190790-cfbd-11e9-91b3-1d7538dfdcb1
si_lgprime,Royal Cargo 1,Royal Cargo 1,null,Device P1- F,4fcbc5b0-4a35-11ed-b04b-61e292f04158,db190790-cfbd-11e9-91b3-1d7538dfdcb1
si_lgprime,Royal Cargo 1,Royal Cargo 1,null,Device P1- C,4fcc8900-4a35-11ed-b04b-61e292f04158,767dfbc0-cfbc-11e9-91b3-1d7538dfdcb1
si_lgprime,Royal Cargo,Royal Cargo,null,Device P1- F,4fcbc5b0-4a35-11ed-b04b-61e292f04158,db190790-cfbd-11e9-91b3-1d7538dfdcb1
si_lgprime,PH Wave,PH Wave,null,Ph,#N/A,#N/A
si_lgprime,People Counter,People Counter,null,people_counter,4febd0d0-4a35-11ed-b04b-61e292f04158,cd097f50-ce09-11e9-91b3-1d7538dfdcb1
si_lgprime,Olympus,Olympus,null,pro_tvoc,4ff93e50-4a35-11ed-b04b-61e292f04158,ae5e55a0-cd26-11e9-91b3-1d7538dfdcb1
si_lgprime,Olympus,Olympus,null,temperature_humidity,#N/A,#N/A
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022935,4acc52a0-4a35-11ed-b04b-61e292f04158,29c71fe0-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022936 11th AVENUE DN150,4ac770a0-4a35-11ed-b04b-61e292f04158,320a4c40-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022937 BALANTI DN150,4ac6ad50-4a35-11ed-b04b-61e292f04158,370fb2c0-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022939 AFPOVAI DN100,4ac0e0f0-4a35-11ed-b04b-61e292f04158,41e1c760-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022940 NORTH GREENHILLS DN200,4abb3ba0-4a35-11ed-b04b-61e292f04158,4c9186f0-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022941 JONES DN200,4abb1490-4a35-11ed-b04b-61e292f04158,50b40780-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022942,4ab5bd60-4a35-11ed-b04b-61e292f04158,54d835c0-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022943 ROLLING HILLS 1 & 2 DN300,4ab5bd61-4a35-11ed-b04b-61e292f04158,5af96c80-85a0-11ec-b372-23a85237172f
si_lgprime,manila-water-large-meters,manila-water-large-meters,manila-water-large-meters,31022944 ADB DN300,4aafa2e0-4a35-11ed-b04b-61e292f04158,605138c0-85a0-11ec-b372-23a85237172f
si_lgprime,LG_Water_Meter,LG_Water_meter,null,pwx-water-meter-0105,4fc228c0-4a35-11ed-b04b-61e292f04158,a4fb4c90-d0a3-11e9-bee7-4f1046ce4ca3
si_lgprime,lg-water-meter-demo - duplicate,lg-water-meter-demo - duplicate,null,Water Meter 2,4fc005e0-4a35-11ed-b04b-61e292f04158,d67a0120-d0c7-11e9-bee7-4f1046ce4ca3
si_lgprime,lg-water-meter-demo - duplicate,lg-water-meter-demo - duplicate,null,Water Meter 1,4fc499c0-4a35-11ed-b04b-61e292f04158,aa82e390-d070-11e9-bee7-4f1046ce4ca3
si_lgprime,LG Water Mater,LG Water Meter,null,water_meter_0104,4faf6410-4a35-11ed-b04b-61e292f04158,2cca5dd0-d623-11e9-83f2-35d64b56884c
si_lgprime,KLT_Temperature,KLT_Temperature water,null,water_temperature_001,#N/A,#N/A
si_lgprime,DLSZ Solar,DLSZ Solar,null,Solar_rpod,4fd98150-4a35-11ed-b04b-61e292f04158,60979970-cef8-11e9-bee7-4f1046ce4ca3
si_lgprime,DLSZ Smart Room,DLSZ Smart Room,null,talkpool9e,#N/A,#N/A
si_lgprime,DLSZ Smart Room,DLSZ Smart Room,null,talkpool9f,#N/A,#N/A
si_lgprime,DLSZ Smart Room,DLSZ Smart Room,null,Room 9C esn3763,4fd2a380-4a35-11ed-b04b-61e292f04158,71842ed0-cf8c-11e9-91b3-1d7538dfdcb1
si_lgprime,DLSZ Smart Room,DLSZ Smart Room,null,Room 9B esn1166,#N/A,#N/A
si_lgprime,bove-ultrasonicwatermeter,bove-ultrasonicwatermeter,null,30002184,4afb51e0-4a35-11ed-b04b-61e292f04158,73ff4c50-6c4f-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001576,4bc1fd40-4a35-11ed-b04b-61e292f04158,a8f33550-52a7-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001577,4bbf6530-4a35-11ed-b04b-61e292f04158,b7131560-52a7-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001578,4f675e90-4a35-11ed-b04b-61e292f04158,26fc6410-50cf-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001579,4f4f90d1-4a35-11ed-b04b-61e292f04158,8285a8e0-50d0-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001580,4f2d14b0-4a35-11ed-b04b-61e292f04158,c6ab6bc0-50d2-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001581,4f3a8230-4a35-11ed-b04b-61e292f04158,cab9bd80-50d1-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001582,4bbd9070-4a35-11ed-b04b-61e292f04158,5eec98b0-52a8-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001584,4bbaf860-4a35-11ed-b04b-61e292f04158,6bcd6910-52a8-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001585,4bb7eb20-4a35-11ed-b04b-61e292f04158,758979d0-52a8-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001586,4bb57a20-4a35-11ed-b04b-61e292f04158,7b8d1671-52a8-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001587,4f7f2c50-4a35-11ed-b04b-61e292f04158,b08126c0-50cb-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001588,4f5e84f0-4a35-11ed-b04b-61e292f04158,37c0b030-50cf-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001591,4bb33030-4a35-11ed-b04b-61e292f04158,8d636ed0-52a8-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001592,4f3d4151-4a35-11ed-b04b-61e292f04158,b8285280-50d1-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001593,4f784e80-4a35-11ed-b04b-61e292f04158,95dcf8c0-50cc-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001594,4f79ae10-4a35-11ed-b04b-61e292f04158,5f58fa60-50cc-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001595,4f705f40-4a35-11ed-b04b-61e292f04158,963e40b0-50ce-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001596,4f31cfa0-4a35-11ed-b04b-61e292f04158,2fd73530-50d2-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001598,4f83e740-4a35-11ed-b04b-61e292f04158,2bf2d340-50cb-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001599,4bb15b70-4a35-11ed-b04b-61e292f04158,9f012b00-52a8-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001600,4f578010-4a35-11ed-b04b-61e292f04158,622c1ac0-50d0-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001601,4f5d7380-4a35-11ed-b04b-61e292f04158,c33fe680-50cf-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001602,4f4b7220-4a35-11ed-b04b-61e292f04158,6ccb6a20-50d1-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001603,4f341990-4a35-11ed-b04b-61e292f04158,fb1e32d0-50d1-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001604,4f444630-4a35-11ed-b04b-61e292f04158,892da660-50d1-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001607,4bae2720-4a35-11ed-b04b-61e292f04158,674473a0-52aa-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001610,4f7408c0-4a35-11ed-b04b-61e292f04158,e7960890-50cd-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001611,4baceea0-4a35-11ed-b04b-61e292f04158,83cc6050-52aa-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001612,4ba8a8e0-4a35-11ed-b04b-61e292f04158,88da7960-52aa-11ec-be49-73e9bda34ef3
si_lgprime,Bove-china-samples,Bove-china-samples,bove-china-samples,30001613,4f555d30-4a35-11ed-b04b-61e292f04158,6a8abe60-50d0-11ec-be49-73e9bda34ef3
