application,device_count
adw300,1
tilt-test,1
edgepoint-temphum,5
test-application,3
feedback-iot-conference,21
edgepoint-pir,6
tilt-sensor-milesight,0
ble-iot-conference,70
makati-ns,2
st50h-testing,1
project-noah-demo-device,2
ble-charger-testing,1
temphum-iot-conference,37
iaq-iot-conference,19
engineering-team-ai,1
iot-conference,20
test-app-ian,1
test-silikon,1
iaq-user-guideline,1
pwx-demo-device,2
acu-sched-test,2
sample-devices,2
acrel-testing,2
varacco-rainfall,3
soil0001,2
modbus-testing,1
iaq-test-display,10
thingsph-radius-smoke-sensor,69
pwx-demo-devices,5
gur-lavi-iaq,0
gawad-kalinga-enchanted-farm,4
magnifi-acu-rectifier-optimizer,0
acu-test,1
ncis-outdoor-ble-scanners,15
ble-test-batt-mon,1
magnifi-smoke-sensor,1
packetworx-ble-scanner,11
concentrix-modbus,10
pwx-ble-scanner,1
silikon-temphum,13
clix-feedbackbutton,1
crs-paws,11
si-clix-ble-scanners,3
si-clix-smoke-sensor,1
si-clix-door-sensor,1
clix-people-counter,1
ojt-testing-app,2
citadines-pm,2
magnifi-fuel,5
magnifi-pir,11
magnifi-switch,1
packetduino-fw-test,1
packetduino-sample,2
water-quality,1
pwx-inhouse-testing,5
netvox-ir,2
gerry-divino-pm,1
ligtas-system,5
pwx-gateway-battery-monitoring,21
mp2651,1
clix-iaq,1
ups-ltc4015,1
worldtradecenter-people-counter,1
seidotech-smoke-sensor,2
seidotech-iaq,2
11111,0
sample-new,0
source-tel,1
sourcetel-iaq,1
my-application,2
test-new,0
onsemi-demo,1
pwx-demo-4mpacketlevel,7
demo-devices-marketing,2
mes-testing,1
st-ignatius-katipunan,1
packetusb-test,3
smart-agri,9
xed-parkingsensor,2
sample-sample,1
sourcetel-temphum,1
varacco5in1,2
yeaps-testing,1
iot-tree-monitoring,1
appsmith-test-new,0
test-device-nilo,1
temphum-device,0
silikon-modbus,0
gawad-kalinga-iaq,1
sample-tup,1
weatherstation-testing,9
sublevel-extra-boards,2
miescor-temphum,10
powerbat-packetair-cognizant,231
miescor-smoke-sensor,10
third-party-test-devices,3
phitechs-iaq,7
phitechs-10mpacketlevel,2
gawad-kalinga,5
phitechs-people-counter,1
phitechs-motion,3
phil-tech-temphum,1
magnifi-weather,11
peoples-light-watermeter,1
rhad-watermeter,2
915-device-test,6
magnifi-iaq,2
ncis-people-counter,2
converge-fuel,224
thingsph-packetmoisture,2
philtowers-currentclamp,1
clix-event-demo,0
crimson-app,1
thingsph-packetlevel,4
bcda-temphum,1
bcda-iaq,2
janrickxan-10mpacketlevel,7
thingsph-motion,10
firmwaretesting,1
janricksan-10mpacketlevel,0
janrickxan-water-meter,1
batchreg-test,10
packet-air-updated-demo,1
inventory-10m,9
gawadkalinga-powermeter,3
packetluxtest,1
noah-weather-station,1
mserv-powermeter,30
inventory-sublevel,0
test-ultrasonicfm,1
ncis-ble-scanners,23
demo-device,3
demo-sales,10
ncis-iaq,2
silikon-nia,2
geos-iaq,9
packetswitch,7
janrickxan-smoke-sensor,8
janrickxan-iaq,20
seido-tech-iaq,1
seidotech-powermeter,1
janrickxan-door-sensor,8
janrickxan-temphum,29
clix-dc-powermeter,1
talkpool-temperature-sensor-test,1
testdevice,0
demo-for-events,10
acrel-modbus,1
powergold-modbus,1
power-gold-temp-probe,2
meralco-iaq,1
tagum-water-large-meters,2
becox,1
capiz-devices,2
ian-test-wearble,0
maynilad-demo,3
powergold-people-counter,3
capiz-demo-devices,16
ftd,6
clixlogic-people-counter,2
clixlogic-water-meter,1
clixlogic-door-sensor,2
